name_x,ogrn,short_name,full_name,address_x,website,reg_date,liq_date,status_x,inn,region,okato,oktmo_code,okved,okved_code,okopf,okopf_code,domain_name,registrar,creation_date,expiration_date
"РАСТОПИМ ЛЁД, АНО ЦСА",1215100003690.0,"АНО ЦСА ""РАСТОПИМ ЛЁД""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ЦЕНТР СОЦИАЛЬНОЙ АДАПТАЦИИ ""РАСТОПИМ ЛЁД""","183003, Мурманская обл, г.о. город Мурманск, г Мурманск, ул Прибрежная, д. 6, кв. 29",растопимлёд.рф,2021-07-19,,Действующая,5190087736.0,Мурманская область,"Мурманская область, Мурманск",47701000001.0,Предоставление социальных услуг без обеспечения проживания престарелым и инвалидам,88.10,Автономные некоммерческие организации,71400.0,XN--80AILMEKHFKK4O.XN--P1AI,REGRU-RF,2022-02-21 12:31:44,2023-02-21 12:31:44
"РАТНИК, ЧУПО",1192801008102.0,"ЧУПО ""РАТНИК""","ЧАСТНОЕ УЧРЕЖДЕНИЕ ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""РАТНИК""","675004, Амурская обл., г. Благовещенск, ул. Зейская, д. 173 каб. 409Б",ratnik28.ru,2019-08-26,,Действующая,2801252148.0,Амурская область,"Амурская область, Благовещенск",10701000001.0,Образование профессиональное дополнительное,85.42,Частные учреждения,75500.0,RATNIK28.RU,REGTIME-RU,2021-07-15 04:55:04,2023-07-15 04:55:04
"РЕАВИЗ, УНИВЕРСИТЕТ",1156313026539.0,"УНИВЕРСИТЕТ ""РЕАВИЗ""","ЧАСТНОЕ УЧРЕЖДЕНИЕ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""УНИВЕРСИТЕТ ""РЕАВИЗ""","198099, г. Санкт-Петербург, ул. Калинина, д. 8 к. 2 литера А",spbreaviz.ru,2015-06-26,,Действующая,6315004151.0,Санкт-Петербург,"Санкт-Петербург, Кировский",40339000000.0,Образование высшее,85.22,Частные учреждения,75500.0,SPBREAVIZ.RU,RU-CENTER-RU,2013-09-17 09:50:29,2022-09-17 10:50:29
"РЕАЛ АВТО, ЧПОУ",1143500001314.0,"ЧПОУ ""РЕАЛ АВТО""","ЧАСТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""РЕАЛ АВТО""","161440, Вологодская обл., Никольский район, г. Никольск, ул. Советская, д. 106",realavto-nikolsk.ru,2014-11-26,,Действующая,3514007553.0,Вологодская область,"Вологодская область, Никольский район, Никольск",19634101001.0,Деятельность школ подготовки водителей автотранспортных средств,85.42.1,Частные учреждения,75500.0,REALAVTO-NIKOLSK.RU,REGRU-RU,2015-03-10 12:21:08,2023-03-10 12:21:08
"РЕАЛ, АНО УЦ",1027402904760.0,"АНО УЦ ""РЕАЛ""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""УЧЕБНЫЙ ЦЕНТР ""РЕАЛ""","454092, Челябинская обл., г. Челябинск, ул. Сулимова, д. 65",www.real-centre.ru,1998-06-01,,Ликвидируется,7451072593.0,Челябинская область,"Челябинская область, Челябинск, Советский",,Образование профессиональное дополнительное,85.42,Автономные некоммерческие организации,71400.0,REAL-CENTRE.RU,SALENAMES-RU,2015-04-07 14:08:07,2023-04-07 14:08:07
"РЕГБИ ТАГАНИЙ РОГ, АНО РСК",1216100029375.0,"АНО РСК ""РЕГБИ ТАГАНИЙ РОГ""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ РЕГИОНАЛЬНЫЙ СПОРТИВНЫЙ КЛУБ ""РЕГБИ ТАГАНИЙ РОГ""","347904, Ростовская обл, г.о. город Таганрог, г Таганрог, ул Фрунзе, зд. 83, стр. 1, помещ. 21",rugbytaganiyrog.ru,2021-10-18,,Действующая,6154161376.0,Ростовская область,"Ростовская область, Таганрог",60737000001.0,Деятельность спортивных клубов,93.12,Автономные некоммерческие организации,71400.0,RUGBYTAGANIYROG.RU,REGRU-RU,2022-03-23 06:20:41,2023-03-23 06:20:41
"РЕГИОН 59, ЧУ ДПО",1065900049258.0,"ЧУ ДПО ""РЕГИОН 59""","ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""РЕГИОН 59""","614025, Пермский кр., г. Пермь, ул. Краснополянская, д. 17",avtoshkola-region59.ru,2006-09-19,2018-03-01,Недействующая,5904150104.0,Пермский край,"Пермский край, Пермь, Свердловский",57701000001.0,Деятельность школ подготовки водителей автотранспортных средств,85.42.1,Частные учреждения,75500.0,AVTOSHKOLA-REGION59.RU,RU-CENTER-RU,2021-02-19 12:39:18,2023-02-19 12:39:18
"РЕГИОНАЛЬНАЯ ГИЛЬДИЯ СУДЕБНЫХ ЭКСПЕРТОВ И ОЦЕНЩИКОВ, АНО",1222300026860.0,"АНО ""РЕГИОНАЛЬНАЯ ГИЛЬДИЯ СУДЕБНЫХ ЭКСПЕРТОВ И ОЦЕНЩИКОВ""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""РЕГИОНАЛЬНАЯ ГИЛЬДИЯ СУДЕБНЫХ ЭКСПЕРТОВ И ОЦЕНЩИКОВ""","353680, Краснодарский край, м.р-н Ейский, г.п. Ейское, г Ейск, ул Коммунаров, д. 41, помещ. 412",gildexperts.ru,2022-05-27,,Действующая,2361019155.0,Краснодарский край,"Краснодарский край, Ейск",3616101001.0,Судебно-экспертная деятельность,71.20.2,Автономные некоммерческие организации,71400.0,GILDEXPERTS.RU,R01-RU,2022-06-29 16:33:46,2023-06-29 16:33:46
"РЕГИОНАЛЬНЫЙ ДОВУЗОВСКИЙ КОМПЛЕКС, ОУ ОЛ",1036900038108.0,"ОУ ОЛ ""РЕГИОНАЛЬНЫЙ ДОВУЗОВСКИЙ КОМПЛЕКС""","ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ. ОБЩЕОБРАЗОВАТЕЛЬНЫЙ ЛИЦЕЙ. ""РЕГИОНАЛЬНЫЙ ДОВУЗОВСКИЙ КОМПЛЕКС""","170028, Тверская обл., г. Тверь, ул. Орджоникидзе, д. 53 к. В",лицейпритвгу.рф,2003-04-30,,Действующая,6901029951.0,Тверская область,"Тверская область, Тверь, Московский",28701000001.0,Образование среднее общее,85.14,Частные учреждения,75500.0,XN--B1ACELBFL9AJVN1A.XN--P1AI,REGRU-RF,2016-11-18 23:22:32,2022-11-18 23:22:32
"РЕГИОНАЛЬНЫЙ УЧЕБНЫЙ ЦЕНТР КОДЕКС, ЧОУ ДПО",1151300000048.0,"ЧОУ ДПО ""РЕГИОНАЛЬНЫЙ УЧЕБНЫЙ ЦЕНТР ""КОДЕКС""","ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""РЕГИОНАЛЬНЫЙ УЧЕБНЫЙ ЦЕНТР ""КОДЕКС""","430005, Мордовия респ., г. Саранск, ул. Советская, д. 84Б",ruc-kodeks.ru,2015-02-06,,Действующая,1326230259.0,Мордовия (Республика),"Республика Мордовия, Саранск, Ленинский",89701000001.0,"Деятельность по дополнительному профессиональному образованию прочая, не включенная в другие группировки",85.42.9,Частные учреждения,75500.0,RUC-KODEKS.RU,REGTIME-RU,2022-03-02 17:10:07,2023-03-02 17:10:07
"РЕГИОНАЛЬНЫЙ УЧЕБНЫЙ ЦЕНТР, АНО ДПО",1151300000125.0,"АНО ДПО ""РЕГИОНАЛЬНЫЙ УЧЕБНЫЙ ЦЕНТР""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""РЕГИОНАЛЬНЫЙ УЧЕБНЫЙ ЦЕНТР""","430005, Мордовия респ., г. Саранск, ул. Советская, д. 105А стр. 7",ruc13.ru,2015-04-01,,Действующая,1326230996.0,Мордовия (Республика),"Республика Мордовия, Саранск, Ленинский",89701000001.0,"Деятельность по дополнительному профессиональному образованию прочая, не включенная в другие группировки",85.42.9,Автономные некоммерческие организации,71400.0,RUC13.RU,TIMEWEB-RU,2021-12-30 05:17:46,2022-12-30 05:17:46
"РЕГИОНАЛЬНЫЙ ЦЕНТР АВТОРИЗОВАННОГО ОБУЧЕНИЯ, ЧОУ ДПО И ПП",1022302392750.0,"ЧОУ ДПО И ПП ""РЕГИОНАЛЬНЫЙ ЦЕНТР АВТОРИЗОВАННОГО ОБУЧЕНИЯ""","ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ И ПРОФЕССИОНАЛЬНОЙ ПОДГОТОВКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР АВТОРИЗОВАННОГО ОБУЧЕНИЯ""","353915, Краснодарский кр., г. Новороссийск, проспект Дзержинского, д. 211 к. 5",rcao.ru,1998-10-09,,Действующая,2315077868.0,Краснодарский край,"Краснодарский край, Новороссийск, Южный",3720000001.0,Образование профессиональное дополнительное,85.42,Частные учреждения,75500.0,RCAO.RU,REGRU-RU,2019-06-07 14:02:13,2023-06-07 14:02:13
"РЕГИОНАЛЬНЫЙ ЦЕНТР ЕВРОКАЧЕСТВО ПЛЮС, ЧОУ ДПО",1056317014401.0,"ЧОУ ДПО ""РЕГИОНАЛЬНЫЙ ЦЕНТР ""ЕВРОКАЧЕСТВО ПЛЮС""","ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ""ЕВРОКАЧЕСТВО ПЛЮС""","443056, Самарская обл., г. Самара, ул. Николая Панова, д. 56Г",eq-plus.ru,2005-04-13,,Действующая,6317055850.0,Самарская область,"Самарская область, Самара, Октябрьский",36701330000.0,Подготовка кадров высшей квалификации,85.23,Частные учреждения,75500.0,EQ-PLUS.RU,REGTIME-RU,2016-09-26 04:37:04,2022-09-26 04:37:04
"РЕГИОНАЛЬНЫЙ ЦЕНТР НПО, НОУ",1037800019454.0,"НОУ ""РЕГИОНАЛЬНЫЙ ЦЕНТР НПО""","НЕГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ "" РЕГИОНАЛЬНЫЙ ЦЕНТР НЕПРЕРЫВНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ""","199004, г. Санкт-Петербург, лн. 3-Я В.О., д. 6 литера А",vpk-spb.ru,1999-11-04,,Действующая,7801135700.0,Санкт-Петербург,"Санкт-Петербург, Василеостровский",40307000000.0,Деятельность по письменному и устному переводу,74.3,Частные учреждения,75500.0,VPK-SPB.RU,RD-RU,2007-09-27 20:00:00,2022-09-27 21:00:00
"РЖД-МЕДИЦИНА Г. ГУДЕРМЕС, ЧУЗ",1042002402111.0,"ЧУЗ ""РЖД-МЕДИЦИНА"" Г. ГУДЕРМЕС""","ЧАСТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""БОЛЬНИЦА ""РЖД-МЕДИЦИНА"" ГОРОДА ГУДЕРМЕС""","366200, Чеченская респ., Гудермесский район, г. Гудермес, ул. Х.Исаева, д. 38",больница-гудермеса.рф,2004-08-20,,Действующая,2005504742.0,Чеченская Республика,"Чеченская Республика, Гудермес",96610101001.0,Деятельность больничных организаций,86.10,Частные учреждения,75500.0,XN----7SBBBMGHAV3ARFL0BR0A1C1G.XN--P1AI,REGRU-RF,2016-08-01 13:47:56,2022-08-01 13:47:56
"РЕДАКЦИЯ ВЖ, АНО",1125200002080.0,"АНО ""РЕДАКЦИЯ ""ВЖ""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""РЕДАКЦИЯ ГАЗЕТЫ ""ВОСКРЕСЕНСКАЯ ЖИЗНЬ""","606730, Нижегородская обл., Воскресенский район, рабочий пос. Воскресенское, ул. Ленина, д. 133",воскресенская-жизнь.рф,2012-06-09,,Действующая,5212995029.0,Нижегородская область,"Нижегородская область, Воскресенский район, Воскресенское",22622151051.0,Издание газет,58.13,Автономные некоммерческие организации,71400.0,XN----7SBFMAIHHMC6AGC3ANDC9RZB.XN--P1AI,RUCENTER-RF,2012-03-02 14:31:13,2023-03-02 15:31:13
РЕДАКЦИЯ ГАЗЕТЫ ВОСХОД,1024000808303.0,"""РЕДАКЦИЯ ГАЗЕТЫ ""ВОСХОД""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""РЕДАКЦИЯ МЕЩОВСКОЙ РАЙОННОЙ ГАЗЕТЫ ""ВОСХОД""","249240, Калужская обл., Мещовский район, г. Мещовск, проспект Революции, д. 54",восход-мещевск.рф,1991-09-26,,Действующая,4013000767.0,Калужская область,"Калужская область, Мещовский район, Мещовск",29627101001.0,Издание газет,58.13,Автономные некоммерческие организации,71400.0,XN----CTBBGGA0BMPA6AH8B9C.XN--P1AI,REGRU-RF,2022-03-05 09:29:48,2023-03-05 09:29:48
"РЕДАКЦИЯ ГАЗЕТЫ ЗОЛОТОЕ КОЛЬЦО, АНО",1027600694175.0,"АНО ""РЕДАКЦИЯ ГАЗЕТЫ ""ЗОЛОТОЕ КОЛЬЦО""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""РЕДАКЦИЯ ГАЗЕТЫ ""ЗОЛОТОЕ КОЛЬЦО""","150000, Ярославская обл., г. Ярославль, ул. Терешковой, д. 5А",goldring.ru,1999-06-01,2017-06-19,Недействующая,7604046307.0,Ярославская область,"Ярославская область, Ярославль, Кировский",78701000001.0,Издание газет,58.13,Автономные некоммерческие организации,71400.0,GOLDRING.RU,REGRU-RU,2001-04-05 20:00:00,2023-04-09 21:00:00
"РЕДАКЦИЯ ГАЗЕТЫ ИНЬВЕНСКИЙ КРАЙ, АНО",1215900005496.0,"АНО ""РЕДАКЦИЯ ГАЗЕТЫ ""ИНЬВЕНСКИЙ КРАЙ""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""РЕДАКЦИЯ ГАЗЕТЫ ""ИНЬВЕНСКИЙ КРАЙ""","619000, Пермский край, г.о. город Кудымкар, г Кудымкар, ул Пермяцкая, д. 47",иньвенский.рф,2021-03-22,,Действующая,5981008688.0,Пермский край,"Пермский край, Кудымкар",57721000001.0,Издание газет,58.13,Автономные некоммерческие организации,71400.0,XN--B1AGHCFESC0B8G.XN--P1AI,REGRU-RF,2022-02-01 14:30:48,2023-02-01 14:30:48
"РЕДАКЦИЯ ГАЗЕТЫ КАМЕНСКАЯ НАРОДНАЯ ГАЗЕТА, АНО",1042201730625.0,"АНО ""РЕДАКЦИЯ ГАЗЕТЫ ""КАМЕНСКАЯ НАРОДНАЯ ГАЗЕТА""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""РЕДАКЦИЯ ГАЗЕТЫ ""КАМЕНСКАЯ НАРОДНАЯ ГАЗЕТА""","658700, Алтайский кр., Каменский район, г. Камень-На-Оби, ул. Толстого, д. 4",kamen-narod.ru,2004-04-06,,Ликвидируется,2207005954.0,Алтайский край,"Алтайский край, Каменский район, Камень-на-Оби",1616101001.0,Издание газет,58.13,Автономные некоммерческие организации,71400.0,KAMEN-NAROD.RU,REGRU-RU,2018-06-22 14:00:48,2023-06-22 14:00:48
"РЕДАКЦИЯ ГАЗЕТЫ ОГНИ КАМЫ, АНО",1215900002086.0,"АНО ""РЕДАКЦИЯ ГАЗЕТЫ ""ОГНИ КАМЫ""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""РЕДАКЦИЯ ГАЗЕТЫ ""ОГНИ КАМЫ""","617760, Пермский край, г.о. Чайковский, г Чайковский, ул Карла Маркса, д. 19",ognikami.ru,2021-02-08,,Действующая,5959005787.0,Пермский край,"Пермский край, Чайковский",57735000001.0,Издание газет,58.13,Автономные некоммерческие организации,71400.0,OGNIKAMI.RU,BEGET-RU,2018-09-11 11:25:36,2022-09-11 11:25:36
"РЕДАКЦИЯ ГАЗЕТЫ ПРОФСОЮЗНЫЙ КУРЬЕР, АНО",1025900900189.0,"АНО ""РЕДАКЦИЯ ГАЗЕТЫ ""ПРОФСОЮЗНЫЙ КУРЬЕР""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""РЕДАКЦИЯ ГАЗЕТЫ ""ПРОФСОЮЗНЫЙ КУРЬЕР""","614099, Пермский кр., г. Пермь, ул. Советская, д. 104 кв. 415-414",pkweekly.ru,1990-11-27,2015-11-09,Недействующая,5904070353.0,Пермский край,"Пермский край, Пермь, Ленинский",57701000001.0,Издание газет,58.13,Автономные некоммерческие организации,71400.0,PKWEEKLY.RU,SALENAMES-RU,2016-12-20 14:13:12,2022-12-20 14:13:12
"РЕДАКЦИЯ ГАЗЕТЫ РОДИНА, АНО",1023100836956.0,"АНО ""РЕДАКЦИЯ ГАЗЕТЫ ""РОДИНА""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""РЕДАКЦИЯ ГАЗЕТЫ ""РОДИНА""","309110, Белгородская обл., Ивнянский район, рабочий пос. Ивня, ул. Советская, д. 4",gazeta-rodina.ru,1999-03-12,2020-03-04,Недействующая,3109001713.0,Белгородская область,"Белгородская область, Ивнянский район, Ивня",14638151051.0,Издание газет,58.13,Автономные некоммерческие организации,71400.0,GAZETA-RODINA.RU,REGRU-RU,2018-03-14 14:11:50,2023-03-14 14:11:50
"РЕДАКЦИЯ ЖУРНАЛА СУДЕБНАЯ ЭКСПЕРТИЗА, АНО",1116400002751.0,"АНО ""РЕДАКЦИЯ ЖУРНАЛА ""СУДЕБНАЯ ЭКСПЕРТИЗА""""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""РЕДАКЦИЯ ЖУРНАЛА ""СУДЕБНАЯ ЭКСПЕРТИЗА""""","410017, Саратовская обл., г. Саратов, стр. Гск Ущелье-2, д. 35/1А",sudexp.ru,2011-05-05,2014-02-26,Недействующая,6453999021.0,Саратовская область,"Саратовская область, Саратов, Ленинский",63701000001.0,Деятельность издательская,58,Автономные некоммерческие организации,71400.0,SUDEXP.RU,RU-CENTER-RU,2022-02-18 14:04:15,2023-02-18 14:04:15
"РЕЖЕВСКАЯ СПОРТИВНО-ТЕХНИЧЕСКАЯ ШКОЛА РО ДОСААФ РОССИИ СВЕРДЛОВСКОЙ ОБЛАСТИ, ПОУ",1026601689685.0,"ПОУ ""РЕЖЕВСКАЯ СПОРТИВНО - ТЕХНИЧЕСКАЯ ШКОЛА РО ДОСААФ РОССИИ СВЕРДЛОВСКОЙ ОБЛАСТИ""","ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""РЕЖЕВСКАЯ СПОРТИВНО - ТЕХНИЧЕСКАЯ ШКОЛА РЕГИОНАЛЬНОГО ОТДЕЛЕНИЯ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННО - ГОСУДАРСТВЕННОЙ ОРГАНИЗАЦИИ ""ДОБРОВОЛЬНОЕ ОБЩЕСТВО СОДЕЙСТВИЯ АРМИИ, АВИАЦИИ И ФЛОТУ РОССИИ"" СВЕРДЛОВСКОЙ ОБЛАСТИ""","623753, Свердловская обл., Режевской район, г. Реж, ул. Пионерская, д. 11",dosaaf-rezh.ru,1996-08-19,,Действующая,6628007954.0,Свердловская область,"Свердловская область, Режевский район, Реж",65720000001.0,Деятельность школ подготовки водителей автотранспортных средств,85.42.1,Частные учреждения,75500.0,DOSAAF-REZH.RU,REGRU-RU,2012-12-28 05:09:14,2022-12-28 06:09:14
"РЕКОМ, НОУ ДО",1106100000412.0,"НОУ ДО ""РЕКОМ""","НЕГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""РЕКОМ""","344022, Ростовская обл., г. Ростов-На-Дону, ул. Петровская, д. 13 кв. 14-15",rekom-rostov.ru,2010-03-17,2016-05-20,Недействующая,6163101574.0,Ростовская область,"Ростовская область, Ростов-на-Дону, Кировский",60701000001.0,Образование профессиональное дополнительное,85.42,Частные учреждения,75500.0,REKOM-ROSTOV.RU,RU-CENTER-RU,2007-03-28 20:00:00,2023-03-28 21:00:00
"РЕЛОД-КАЗАНЬ, ЭМС",1021602849278.0,"ЭМС ""РЕЛОД - КАЗАНЬ""","ОБРАЗОВАТЕЛЬНАЯ АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЭКЗАМЕНАЦИОННЫЙ И МЕТОДИЧЕСКИЙ СОВЕТ ""РЕЛОД - КАЗАНЬ""","420008, Татарстан респ., г. Казань, ул. Кремлевская, д. 35 к. 2 кв. 220",www.relod-kazan.ru,1999-07-08,2021-06-08,Недействующая,1655036031.0,Республика Татарстан,"Республика Татарстан, Казань, Вахитовский",92701000001.0,Торговля розничная книгами в специализированных магазинах,47.61,Автономные некоммерческие организации,71400.0,RELOD-KAZAN.RU,REGTIME-RU,2006-12-12 21:00:00,2022-12-12 21:00:00
"РЕНЕССАНС, ЧУ ДО МЛ",1152651030619.0,"ЧУ ДО МЛ ""РЕНЕССАНС""","ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""МЕЖДУНАРОДНЫЙ ЛИЦЕЙ ""РЕНЕССАНС""","357600, Ставропольский кр., г. Ессентуки, ул. Володарского, д. 44",школа-лицей-ренессанс.рф,2015-12-08,,Действующая,2626044921.0,Ставропольский край,"Ставропольский край, Ессентуки",7710000001.0,Образование дополнительное детей и взрослых,85.41,Частные учреждения,75500.0,XN-----6KCCXBAUKFLC5ACC4BUAC2G8A.XN--P1AI,REGRU-RF,2016-05-17 08:36:52,2023-05-17 08:36:52
"РЕПЕТИТОР+, ЧУ ДО",1163100000447.0,"ЧУ ДО ""РЕПЕТИТОР+""","ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""РЕПЕТИТОР+""","309502, Белгородская обл., г. Старый Оскол, микрорайон Королева, д. 17",plusrepetitor.ru,2016-05-16,,Действующая,3128113388.0,Белгородская область,"Белгородская область, Старый Оскол",14740000001.0,Образование дополнительное детей и взрослых,85.41,Частные учреждения,75500.0,PLUSREPETITOR.RU,REGRU-RU,2022-03-28 13:06:05,2023-03-28 13:06:05
"РЕСПЕКТ-2005, ЧУДО",1055445025063.0,"ЧУДО ""РЕСПЕКТ-2005""","ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ШКОЛА ИНОСТРАННЫХ ЯЗЫКОВ ""РЕСПЕКТ-2005""","633010, Новосибирская обл., г. Бердск, ул. Первомайская, д. 26 офис 304",respect-berdsk.ru,2005-08-12,,Действующая,5445120319.0,Новосибирская область,"Новосибирская область, Бердск",50708000001.0,Образование дополнительное детей и взрослых,85.41,Частные учреждения,75500.0,RESPECT-BERDSK.RU,RU-CENTER-RU,2012-06-18 02:59:20,2023-06-18 03:59:20
"РЕСПУБЛИКАНСКИЙ ЛИЦЕЙ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОДДЕРЖКИ ГНОУЛИ",1101400001405.0,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОДДЕРЖКИ ГНОУЛИ ""РЕСПУБЛИКАНСКИЙ ЛИЦЕЙ""","БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОДДЕРЖКИ И РАЗВИТИЯ ГОСУДАРСТВЕННОГО НЕТИПОВОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ ЛИЦЕЙ-ИНТЕРНАТ ""РЕСПУБЛИКАНСКИЙ ЛИЦЕЙ""","677000, Саха /Якутия/ респ., г. Якутск, ул. Ойунского, д. 41 кв. 97",rlchik.ru,2010-11-24,,Действующая,1435234782.0,Саха (Республика) (Якутия),"Республика Саха, Якутск",98701000001.0,Образование дополнительное детей и взрослых,85.41,Благотворительные фонды,70401.0,RLCHIK.RU,REGRU-RU,2022-03-03 13:21:36,2023-03-03 13:21:36
ПЕРВИЧНАЯ ОРГАНИЗАЦИЯ ПРОФСОЮЗА СИБИРСКОГО МЕДИЦИНСКОГО УНИВЕРСИТЕТА ТОМСКОЙ ОБЛАСТНОЙ ОРГАНИЗАЦИИ ПРОФСОЮЗА РАБОТНИКОВ ЗДРАВООХРАНЕНИЯ РФ,1027000001368.0,ПЕРВИЧНАЯ ОРГАНИЗАЦИЯ ПРОФСОЮЗА СИБИРСКОГО МЕДИЦИНСКОГО УНИВЕРСИТЕТА ТОМСКОЙ ОБЛАСТНОЙ ОРГАНИЗАЦИИ ПРОФСОЮЗА РАБОТНИКОВ ЗДРАВООХРАНЕНИЯ РФ,ПЕРВИЧНАЯ ОРГАНИЗАЦИЯ ПРОФСОЮЗА СИБИРСКОГО МЕДИЦИНСКОГО УНИВЕРСИТЕТА ТОМСКОЙ ОБЛАСТНОЙ ОРГАНИЗАЦИИ ПРОФСОЮЗА РАБОТНИКОВ ЗДРАВООХРАНЕНИЯ РФ,"634050, Томская обл., г. Томск, тракт Московский, д. 2",profkom-ssmu.ru,1999-12-23,,Действующая,7018016710.0,Томская область,"Томская область, Томск",69701000001.0,Деятельность профессиональных союзов,94.20,Профсоюзные организации,20202.0,PROFKOM-SSMU.RU,TIMEWEB-RU,2020-11-20 04:50:11,2022-11-20 04:50:11
"РЕСТОРАННЫЙ КОНСАЛТИНГ-ПЕТЕРБУРГСКАЯ РЕСТОРАННАЯ ШКОЛА, ЧОУ ДПО",1057812631667.0,"ЧОУ ДПО ""РЕСТОРАННЫЙ КОНСАЛТИНГ-ПЕТЕРБУРГСКАЯ РЕСТОРАННАЯ ШКОЛА""","ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""РЕСТОРАННЫЙ КОНСАЛТИНГ-ПЕТЕРБУРГСКАЯ РЕСТОРАННАЯ ШКОЛА""","199178, г. Санкт-Петербург, лн. 17-Я В.О., д. 60 литера А",www.restaschool.ru,2005-10-13,2019-01-29,Недействующая,7801390669.0,Санкт-Петербург,"Санкт-Петербург, Василеостровский",40308000000.0,Подготовка кадров высшей квалификации,85.23,Частные учреждения,75500.0,RESTASCHOOL.RU,RD-RU,2007-10-25 20:00:00,2022-10-25 21:00:00
